municipio;aprovechamiento viable (sí/no);calidad del agua urbana - irca (%);cobertura acueducto rural (%);cobertura acueducto urbano (%);cobertura alcantarillado rural (%);cobertura alcantarillado urbano (%);cobertura aseo rural (%);cobertura aseo urbano (%);continuidad acueducto urbano (hora/día);disposición final adecuada (sí/no);población rural (número de habitantes);población urbana (número de habitantes);porcentaje de aguas residuales tratadas (%);porcentaje de aprovechamiento (%)
SALGAR;SI;0,0000;0,85;0,989;0,55;0,87;0,75;1;24 horas-día;SI;11540;6718;0;0,6
SAN ANDRES DE CUERQUIA;SI;0,0242;33,7;97;33,2;94;15;100;24;SI;4193;3201;0;30
SAN CARLOS;SI;0,0000;36,2;100;36,2;80;29;99;24;SI;8865;7362;70;78
SAN FRANCISCO;SI;0,3350;60;100;15;96;25;100;24;SI;3248;2960;96;52
SAN JERONIMO;NO;0,0124;0,15;87.6%;0,08;87.6 %;0,7;1;24;NO;7645;6357;0.0 %;0,4
SAN JOSE DE LA MONTAÑA;SI;0,0570;0,245;100;0,2205;0,884;0,97;1;24/7;SI;965;2719;0,884;0,25
SAN JUAN DE URABA;no;0,0774;0,49;100;0;57.74;0,37;1;24;si;13469;6624;0.%;0,01
SAN LUIS;SI;0,0074;0,64;0,95;0,39;0,85;0,75;0,98;24;si;7537;14913;88;0,6
SAN PEDRO DE LOS MILAGROS;SI;0,0750;61;99;50;95;50;99;24;si;9514;13895;65;80
SAN PEDRO DE URABA;SI;0,0171;0,4;1;0;0,9;0,03;1;24;si;18236;11779;0,7;0
SAN RAFAEL;SI;0,0054;35;97;15;97;40;97;24;si;7542;9075;80;40
SAN ROQUE;SI;0,0054;0,77;100;0;100;0,56;100;24;si;15038;6481;96;0,3871
SAN VICENTE FERRER;SI;0,0010;0,95;1;0;0,98;0;1;24;si;16182;7364;0,98;0,32
SANTA BARBARA;Si;0,0057;30.46;100;1.58;67;35;100;23.13;si;14219;13389;16;30
SANTA FE DE ANTIOQUIA;NO;0,0012;1;1;0,21;1;0,1;1;24;SI;9813;16351;1;0
SANTA ROSA DE OSOS;SI;0,0000;36,73;100;11,96;89,27;20,31;100;24;NO;14505;17931;27;8
SANTO DOMINGO;SI;0,0072;0,491;0,9986;0,257;0,9895;0,29;0,9895;24;SI;9434;3641;0,75;0,27
